"qa_sequence","run_id","layer","prompt_id","variant_id","engine","qa_method","qa_status"
"1","Z0-E01-A-CHATGPT","A","E01","A","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"2","Z0-E01-B-GOOGLE","B","E01","B","Google","deterministic manifest ordinal modulo 5","pending"
"3","Z0-E01-C-COPILOT","B","E01","C","Copilot","deterministic manifest ordinal modulo 5","pending"
"4","Z0-E02-A-PERPLEXITY","A","E02","A","Perplexity","deterministic manifest ordinal modulo 5","pending"
"5","Z0-E03-B-CHATGPT","B","E03","B","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"6","Z0-E03-C-GOOGLE","B","E03","C","Google","deterministic manifest ordinal modulo 5","pending"
"7","Z0-E04-A-COPILOT","A","E04","A","Copilot","deterministic manifest ordinal modulo 5","pending"
"8","Z0-E05-A-PERPLEXITY","A","E05","A","Perplexity","deterministic manifest ordinal modulo 5","pending"
"9","Z0-E05-C-CHATGPT","B","E05","C","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"10","Z0-E06-A-GOOGLE","A","E06","A","Google","deterministic manifest ordinal modulo 5","pending"
"11","Z0-F01-A-COPILOT","A","F01","A","Copilot","deterministic manifest ordinal modulo 5","pending"
"12","Z0-F01-B-PERPLEXITY","B","F01","B","Perplexity","deterministic manifest ordinal modulo 5","pending"
"13","Z0-F02-A-CHATGPT","A","F02","A","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"14","Z0-F03-A-GOOGLE","A","F03","A","Google","deterministic manifest ordinal modulo 5","pending"
"15","Z0-F04-A-COPILOT","A","F04","A","Copilot","deterministic manifest ordinal modulo 5","pending"
"16","Z0-F04-B-PERPLEXITY","B","F04","B","Perplexity","deterministic manifest ordinal modulo 5","pending"
"17","Z0-F05-A-CHATGPT","A","F05","A","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"18","Z0-F06-A-GOOGLE","A","F06","A","Google","deterministic manifest ordinal modulo 5","pending"
"19","Z0-F07-A-COPILOT","A","F07","A","Copilot","deterministic manifest ordinal modulo 5","pending"
"20","Z0-F07-B-PERPLEXITY","B","F07","B","Perplexity","deterministic manifest ordinal modulo 5","pending"
"21","Z0-F08-A-CHATGPT","A","F08","A","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"22","Z0-F08-B-GOOGLE","B","F08","B","Google","deterministic manifest ordinal modulo 5","pending"
"23","Z0-F08-C-COPILOT","B","F08","C","Copilot","deterministic manifest ordinal modulo 5","pending"
"24","Z0-F09-A-PERPLEXITY","A","F09","A","Perplexity","deterministic manifest ordinal modulo 5","pending"
"25","Z0-F10-B-CHATGPT","B","F10","B","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"26","Z0-F10-C-GOOGLE","B","F10","C","Google","deterministic manifest ordinal modulo 5","pending"
"27","Z0-F11-A-COPILOT","A","F11","A","Copilot","deterministic manifest ordinal modulo 5","pending"
"28","Z0-F11-B-PERPLEXITY","B","F11","B","Perplexity","deterministic manifest ordinal modulo 5","pending"
"29","Z0-F12-A-CHATGPT","A","F12","A","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"30","Z0-F12-B-GOOGLE","B","F12","B","Google","deterministic manifest ordinal modulo 5","pending"
"31","Z0-F12-C-COPILOT","B","F12","C","Copilot","deterministic manifest ordinal modulo 5","pending"
"32","Z0-C01-A-PERPLEXITY","A","C01","A","Perplexity","deterministic manifest ordinal modulo 5","pending"
"33","Z0-C01-C-CHATGPT","B","C01","C","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"34","Z0-C02-A-GOOGLE","A","C02","A","Google","deterministic manifest ordinal modulo 5","pending"
"35","Z0-C03-A-COPILOT","A","C03","A","Copilot","deterministic manifest ordinal modulo 5","pending"
"36","Z0-C04-A-PERPLEXITY","A","C04","A","Perplexity","deterministic manifest ordinal modulo 5","pending"
"37","Z0-C06-A-CHATGPT","A","C06","A","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"38","Z0-N01-A-GOOGLE","A","N01","A","Google","deterministic manifest ordinal modulo 5","pending"
"39","Z0-N01-B-COPILOT","B","N01","B","Copilot","deterministic manifest ordinal modulo 5","pending"
"40","Z0-N01-C-PERPLEXITY","B","N01","C","Perplexity","deterministic manifest ordinal modulo 5","pending"
"41","Z0-N03-A-CHATGPT","A","N03","A","ChatGPT","deterministic manifest ordinal modulo 5","pending"
"42","Z0-N04-A-GOOGLE","A","N04","A","Google","deterministic manifest ordinal modulo 5","pending"
"43","Z0-N05-A-COPILOT","A","N05","A","Copilot","deterministic manifest ordinal modulo 5","pending"
"44","Z0-N06-A-PERPLEXITY","A","N06","A","Perplexity","deterministic manifest ordinal modulo 5","pending"
